Interview_ID,organization ,Role ,Research_Question,Theme,Subtheme,Initial_Code,Evidence,Quote,Recommendation
SW03,Government,Social Worker,RQ2,Access Pathways,Community Organisations,Multi-sector referrals,"Rural Women's Assembly, Community Victim Support Units and community-based organisations collaborate in referring survivors.","""Community organisations help direct survivors to support.""",Improve coordination among community organisations.
SW03,Government,Social Worker,RQ2,Access Pathways,Awareness Campaigns,Community sensitisation,Awareness meetings educate communities about GBV and available support services.,"""We conduct regular community awareness campaigns.""",Increase awareness campaigns in underserved communities.
SW03,Government,Social Worker,RQ2,Access Pathways,Child Protection Officers,Child protection referrals,Child Protection Officers assist survivors in accessing available support services.,"""Child Protection Officers also assist survivors.""",Strengthen child protection systems.
SW03,Government,Social Worker,RQ1,Barriers,Distance,Long travel distance,Survivors often travel long distances to access shelters and services.,"""Distance from where survivors live is a challenge.""",Increase community-based support services.
SW03,Government,Social Worker,RQ1,Barriers,Social Norms,Violence normalisation,"Violence is often viewed as a normal part of marriage, discouraging reporting.","""Violence has become normalised in some communities.""",Increase behaviour change and awareness programmes.
SW03,Government,Social Worker,RQ1,Barriers,Low Self-Esteem,Lack of confidence,Survivors often lack confidence to report abuse because of low self-esteem.,"""Some lack the courage because of low self-esteem.""",Strengthen psychosocial support services.
SW03,Government,Social Worker,RQ1,Barriers,Fear of Husband's Arrest,Fear of consequences,Women fear reporting abuse because it may lead to their husbands being arrested.,"""They fear the husband will be arrested.""",Strengthen survivor protection and livelihood programmes.
SW03,Government,Social Worker,RQ1,Barriers,Financial Dependence,Economic reliance,Women depend financially on abusive husbands and fear losing support.,"""Women depend on their husbands for support.""",Promote economic empowerment programmes.
SW03,Government,Social Worker,RQ3,Survivor Needs,Emotional Support,Love and understanding,"Survivors primarily need empathy, acceptance and emotional support.","""Most of them need love and understanding.""",Adopt trauma-informed care approaches.
SW03,Government,Social Worker,RQ3,Survivor Needs,Basic Needs,Food and clothing,"Survivors require food, clothing, hygiene supplies and other necessities while in shelters.","""They need food, clothing and hygiene.""",Ensure shelters provide essential supplies.
SW03,Government,Social Worker,RQ3,Survivor Needs,Counselling,Ongoing counselling,Counselling is essential throughout the survivor's recovery process.,"""They also need ongoing counselling.""",Increase availability of counselling services.
SW03,Government,Social Worker,RQ3,Survivor Needs,Community Support,Social belonging,"Survivors value acceptance and support from the community, particularly when they have children.","""They need love and community.""",Promote community reintegration programmes.
SW03,Government,Social Worker,RQ4,Challenges,Economic Reintegration,Financial independence,Survivors require livelihood training before returning to their communities.,"""We train women in business planning.""",Expand livelihood programmes.
SW03,Government,Social Worker,RQ4,Challenges,Skills Training,Vocational empowerment,Survivors receive tailoring and baking training to improve self-reliance.,"""Thirty women were trained in tailoring and another thirty in baking.""",Increase vocational training opportunities.
SW03,Government,Social Worker,RQ4,Challenges,Shelter Duration,Temporary accommodation,Shelters can accommodate survivors for a maximum of six months before reintegration.,"""The maximum stay is six months.""",Extend support beyond shelter stays through follow-up services.
SW03,Government,Social Worker,RQ4,Challenges,Community Reintegration,Mediation and awareness,Survivors are reintegrated into their communities through mediation and community awareness.,"""We conduct mediation and awareness before reintegration.""",Strengthen reintegration programmes.
SW03,Government,Social Worker,RQ4,Challenges,Limited Shelter Resources,Insufficient supplies,Shelters struggle to provide adequate materials due to increasing GBV cases.,"""Shelters do not have enough materials.""",Increase funding for shelter operations.
SW03,Government,Social Worker,RQ4,Challenges,Survivor Expectations,Unmet expectations,Survivors sometimes expect material assistance that social workers cannot provide.,"""When expectations are not met, trust is lost.""",Clearly communicate available services and increase resource mobilisation.
SW03,Government,Social Worker,RQ4,Challenges,Transport,Follow-up constraints,Limited transport funding reduces follow-up visits to survivors.,"""Transport costs prevent follow-up visits.""",Provide transport resources for outreach work.
SW03,Government,Social Worker,RQ4,Challenges,Staff Capacity,Training needs,Staff require additional skills to deliver specialised survivor support programmes.,"""There is need for capacity building for staff.""",Invest in continuous professional development.
SW03,Government,Social Worker,RQ5,Opportunities,Funding,Resource mobilisation,Increased funding would improve shelter services and survivor support.,"""There is need for funding from government and NGOs.""",Increase investment from government and development partners.
SW03,Government,Social Worker,RQ5,Opportunities,Capacity Building,Staff development,Continuous staff training would improve the quality of survivor support.,"""There is need for capacity building.""",Strengthen professional training programmes.
SW04,Rural Women's Assembly,Social Worker,RQ2,Access Pathways,Community Awareness,Awareness campaigns,The Rural Women's Assembly conducts community awareness meetings on GBV prevention and available support services.,"""Our main job is conducting awareness meetings in different communities.""",Expand community awareness programmes.
SW04,Rural Women's Assembly,Social Worker,RQ2,Access Pathways,Follow-up Support,Home visits,Social workers conduct follow-up visits to monitor survivors and provide ongoing support.,"""We conduct follow-up visits to GBV survivors.""",Increase resources for community follow-up.
SW04,Rural Women's Assembly,Social Worker,RQ2,Access Pathways,Referral Maps,Information dissemination,Referral maps containing emergency contacts are distributed throughout communities to help survivors know where to seek help.,"""We have referral maps with contacts for the Rural Women's Assembly, CVSU and police.""",Increase distribution of referral maps.
SW04,Rural Women's Assembly,Social Worker,RQ2,Access Pathways,Community Action Groups,Community referral,Community Action Groups act as the first point of contact and represent every village in identifying and referring survivors.,"""Each village is represented in the Community Action Groups.""",Strengthen Community Action Groups through training.
SW04,Rural Women's Assembly,Social Worker,RQ2,Access Pathways,Community Awareness,Sensitisation meetings,Regular sensitisation meetings educate communities on GBV and available support services.,"""We conduct awareness meetings in the communities.""",Conduct regular community sensitisation campaigns.
SW04,Rural Women's Assembly,Social Worker,RQ1,Barriers,Community Perceptions,Negative perception of social workers,"Some community members, particularly men, discourage women from interacting with social workers because they believe it makes women disobedient.","""Men believe talking to social workers makes women arrogant.""",Increase community engagement involving both men and women.
SW04,Rural Women's Assembly,Social Worker,RQ1,Barriers,Survivor Reluctance,Fear of seeking help,Negative perceptions discourage survivors from approaching social workers.,"""Some women become reluctant to talk to social workers.""",Build trust through community engagement.
SW04,Rural Women's Assembly,Social Worker,RQ2,Access Pathways,Trust Building,Informal engagement,Social workers first engage women through ordinary conversations and faith-based discussions before discussing GBV issues.,"""Sometimes we just talk to them about the Word of God until they become comfortable.""",Promote survivor-centred communication strategies.
SW04,Rural Women's Assembly,Social Worker,RQ2,Access Pathways,Traditional Leadership,Chief approval,Chiefs provide permission and legitimacy for social workers to operate within communities.,"""The chiefs give us approval before we enter the communities.""",Continue engaging traditional leaders in GBV programmes.
SW04,Rural Women's Assembly,Social Worker,RQ1,Barriers,Fear of Marriage Breakdown,Fear of divorce,Survivors hesitate to report abuse because they fear their marriages will end.,"""Some women fear their marriages will end if they report.""",Strengthen family support and survivor protection mechanisms.
SW04,Rural Women's Assembly,Social Worker,RQ1,Barriers,Financial Dependence,Economic reliance,Financial dependence on husbands discourages women from reporting GBV.,"""Women depend on men financially.""",Expand women's economic empowerment programmes.
SW04,Rural Women's Assembly,Social Worker,RQ1,Barriers,Financial Violence,Economic abuse,Financial violence is one of the most common forms of GBV in farming households where husbands control household income.,"""Most cases in the community are financial violence.""",Promote household financial inclusion and awareness.
SW04,Rural Women's Assembly,Social Worker,RQ4,Challenges,Social Worker Safety,Threats against staff,Social workers sometimes receive threats from abusive partners during follow-up visits.,"""Some social workers have been threatened by husbands.""",Improve protection measures for frontline workers.
SW04,Rural Women's Assembly,Social Worker,RQ4,Challenges,Shelter Availability,No safe shelters,"The Rural Women's Assembly does not own safe shelters, limiting available support.","""We do not have safe shelters.""",Establish community safe shelters.
SW04,Rural Women's Assembly,Social Worker,RQ4,Challenges,Patriarchal Leadership,Cultural resistance,Some traditional leaders continue to uphold patriarchal beliefs that hinder GBV interventions.,"""Some chiefs still have the patriarchal mindset.""",Increase gender sensitisation among traditional leaders.
SW04,Rural Women's Assembly,Social Worker,RQ5,Opportunities,Funding,Financial support,Additional funding would allow the organisation to reach and support more survivors.,"""We need enough funding to support more women.""",Increase government and donor funding.
SW04,Rural Women's Assembly,Social Worker,RQ5,Opportunities,Livelihood Programmes,Skills development,The organisation has successfully trained women in tailoring and baking but could reach more women with additional resources.,"""We trained thirty women in tailoring and another thirty in baking.""",Expand livelihood training programmes.
SW04,Rural Women's Assembly,Social Worker,RQ5,Opportunities,Government Support,Ministry funding,The Ministry of Gender requires greater financial support to sustain community initiatives.,"""The Ministry of Gender is underfunded.""",Increase national investment in GBV services.
SW04,Rural Women's Assembly,Social Worker,RQ5,Opportunities,Multi-sector Collaboration,Civil society partnerships,Collaboration with civil society organisations strengthens support for survivors.,"""Collaboration among civil society organisations supports social workers.""",Strengthen partnerships between government and NGOs.
SW04,Rural Women's Assembly,Social Worker,RQ5,Opportunities,Safe Shelters,Community shelters,Establishing dedicated shelters would significantly improve survivor protection.,"""If we had funding, we would create safe spaces for women.""",Invest in establishing community-based safe shelters.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Victim Support Unit,Temporary shelter,The Victim Support Unit (VSU) serves as a temporary safe shelter for survivors.,"""They have a Victim Support Unit that doubles as a safe shelter.""",Strengthen and expand temporary shelter facilities.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Rehabilitation Centre,Temporary accommodation,The rehabilitation centre accommodates survivors while they receive treatment and support.,"""The rehabilitation centre accommodated survivors during their support period.""",Increase rehabilitation centre capacity.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Shelter Duration,Length of stay,Survivors remain in temporary shelters for approximately three to four months depending on the case.,"""The amount of time would mostly go from three to four months.""",Develop individualized reintegration plans.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Referral System,Police referral,Survivors are referred from the Victim Support Unit to the rehabilitation centre.,"""The Victim Support Unit would refer survivors to the rehabilitation centre.""",Strengthen referral coordination between agencies.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Multi-sector Case Management,Joint case management,Social workers and police jointly determine the best course of action for each survivor.,"""The social worker and the police would work the case and look into the way forward.""",Promote multidisciplinary case management.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Court Support,Shelter during legal proceedings,Survivors remain at the rehabilitation centre while court proceedings are ongoing.,"""They would keep survivors during the duration of the court case.""",Strengthen legal support services for survivors.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Radio Awareness,Mass communication,Radio programmes are used to inform communities about available GBV support services.,"""They spread awareness through radio programmes.""",Increase the use of media for awareness campaigns.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Community Awareness,Community sensitisation,Awareness meetings encourage survivors to report GBV and seek help.,"""They conduct awareness meetings in the community.""",Continue regular community sensitisation campaigns.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Traditional Leaders,Community reporting,Chiefs assist in identifying and reporting GBV cases in their communities.,"""Through the chiefs they are able to report cases of GBV.""",Strengthen collaboration with traditional leaders.
SW05,District Social Welfare,Social Worker,RQ2,Access Pathways,Police?Social Welfare Collaboration,Inter-agency referral,Police and social workers work together to manage GBV cases after survivors report to the VSU.,"""The police link with the social workers and decide how to manage the issue.""",Enhance inter-agency collaboration.
SW05,District Social Welfare,Social Worker,RQ1,Barriers,Poor Shelter Conditions,Inadequate resources,Limited food and basic resources discourage survivors from staying at shelters.,"""Most survivors prefer just to go back home because of how poorly resourced the shelters are.""",Improve shelter living conditions and supplies.
SW05,District Social Welfare,Social Worker,RQ1,Barriers,Survivor Preference,Returning home,Some survivors choose to return home and only visit shelters for counselling because shelter conditions are inadequate.,"""They would rather come from home for counselling.""",Improve shelter quality to encourage temporary residence.
SW05,District Social Welfare,Social Worker,RQ4,Challenges,Mobility,Limited transport,Social workers lack transport to conduct follow-up visits within communities.,"""Mobility is a challenge.""",Provide transport resources for outreach activities.
SW05,District Social Welfare,Social Worker,RQ4,Challenges,Follow-up Services,Limited monitoring,Resource constraints reduce the ability of social workers to monitor survivors after initial support.,"""They need to follow up with survivors in their homes.""",Increase funding for community follow-up.
SW05,District Social Welfare,Social Worker,RQ4,Challenges,Shelter Resources,Limited accommodation,"Shelters struggle to accommodate survivors because of inadequate food, bedding and other necessities.","""They fail to accommodate survivors because of lack of basic things.""",Increase funding for shelter operations.
SW05,District Social Welfare,Social Worker,RQ4,Challenges,Reintegration Support,Lack of starter resources,Survivors often return to their communities without adequate resources to rebuild their lives.,"""They need to be supported with basic needs when reintegrating.""",Develop reintegration assistance programmes.
SW05,District Social Welfare,Social Worker,RQ3,Survivor Needs,Counselling,Psychosocial support,Counselling is provided throughout the survivor's stay and after returning to the community.,"""We offer continued counselling.""",Expand long-term psychosocial support services.
SW05,District Social Welfare,Social Worker,RQ3,Survivor Needs,Starter Packs,Material assistance,Survivors receive starter packs to help them restart their lives after reintegration.,"""They sometimes offer what they call a starter pack.""",Increase availability of reintegration packages.
SW05,District Social Welfare,Social Worker,RQ3,Survivor Needs,Psychological First Aid,Immediate emotional support,Survivors receive Psychological First Aid (PFA) immediately after reporting.,"""We also offer PFA, which is psychosocial first aid.""",Train more staff in Psychological First Aid.
SW05,District Social Welfare,Social Worker,RQ5,Opportunities,Survivor-Centred Support,Tailored interventions,Support should be based on the specific needs and circumstances of each survivor.,"""Survivors should receive support according to the kind of cases they have.""",Promote individualized case management.
SW05,District Social Welfare,Social Worker,RQ5,Opportunities,Material Support,Beyond counselling,Counselling alone is insufficient; survivors also require practical and material support during reintegration.,"""Counselling is not enough. There is also need for material support.""",Integrate livelihood and material support into GBV programmes.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Case Management,Case recording,The District Gender Office records all reported GBV cases using standardized reporting templates before determining the appropriate intervention.,"""The office receives cases and these cases are recorded in a template.""",Strengthen standardized case management systems.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Mediation Process,Hearing both parties,The Gender Office invites both the survivor and perpetrator to hear both sides before deciding on mediation or referral where appropriate.,"""They give a letter to the perpetrator so that they can hear both sides of the story.""",Ensure survivor-centred mediation protocols.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Referral System,Referral to police and courts,Serious GBV cases are referred to the police or courts depending on their severity.,"""Depending on how severe the case is, they refer to either the court or the police.""",Strengthen referral coordination across institutions.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Medical Referral,Hospital services,Survivors requiring medical treatment are referred through the Victim Support Unit to hospitals.,"""The victim can also be referred to the hospital for medical support.""",Strengthen links between health and GBV services.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Community Victim Support Units,Community entry point,Community Victim Support Units (CVSUs) receive GBV cases within Traditional Authorities before referring them to the district office.,"""The CVSUs are the ones that receive the cases in the communities.""",Strengthen Community Victim Support Units.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Child Protection Officers,Community case management,Child Protection Officers serve as case managers within Community Victim Support Units.,"""The case manager is the Child Protection Officer.""",Continue strengthening community child protection systems.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Multi-sector Collaboration,Community committees,"Community committees include police officers, Child Protection Officers and Health Surveillance Assistants (HSAs).","""There is a police officer and an HSA in these committees.""",Promote integrated community response teams.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Community Awareness,Awareness campaigns,Child Protection Officers conduct awareness campaigns encouraging survivors to report GBV.,"""They conduct campaigns in the Traditional Authorities.""",Increase community sensitisation campaigns.
SW06,District Gender Office,Social Worker,RQ2,Access Pathways,Radio Programmes,Mass awareness,Community radio is used to inform survivors where to seek help.,"""They use community radios to spread the word.""",Expand radio-based awareness programmes.
SW06,District Gender Office,Social Worker,RQ1,Barriers,Fear of Retaliation,Community backlash,Survivors are often reprimanded by perpetrators after reporting abuse.,"""When they go back to the community they are reprimanded for reporting.""",Strengthen survivor protection mechanisms.
SW06,District Gender Office,Social Worker,RQ1,Barriers,Survivor Expectations,Financial expectations,"Many survivors expect financial assistance from the Gender Office, which the office cannot provide.","""Most expectation is financial support.""",Improve communication regarding available services.
SW06,District Gender Office,Social Worker,RQ1,Barriers,Limited Understanding,Misconceptions about services,Survivors sometimes believe the Gender Office cannot help because it does not provide direct financial support.,"""They think the district office cannot support them.""",Increase public education about available GBV services.
SW06,District Gender Office,Social Worker,RQ3,Survivor Needs,Counselling,Emotional support,The Gender Office provides counselling to GBV survivors.,"""We provide counselling.""",Continue strengthening counselling services.
SW06,District Gender Office,Social Worker,RQ3,Survivor Needs,Mediation,Conflict resolution,Mediation is offered where appropriate depending on the circumstances of the case.,"""We provide mediation between abuse parties.""",Apply mediation only where survivor safety can be assured.
SW06,District Gender Office,Social Worker,RQ3,Survivor Needs,Referrals,Priority access,Survivors referred by the Gender Office receive priority services at referral institutions such as hospitals.,"""People referred by the Gender Office are treated faster.""",Strengthen formal referral systems across sectors.
SW06,District Gender Office,Social Worker,RQ4,Challenges,Human Resources,Staff shortages,The District Gender Office is understaffed and unable to provide services at the desired capacity.,"""The Gender Office is understaffed.""",Recruit additional GBV personnel.
SW06,District Gender Office,Social Worker,RQ4,Challenges,Funding Constraints,Underfunding,Limited funding prevents outreach activities and follow-up visits.,"""Gender is severely underfunded.""",Increase government funding for GBV services.
SW06,District Gender Office,Social Worker,RQ4,Challenges,Follow-up Visits,Limited outreach,Funding shortages reduce the office's ability to monitor survivors after referral.,"""Funding prevents follow-up visits.""",Allocate dedicated outreach resources.
SW06,District Gender Office,Social Worker,RQ4,Challenges,Loss of NGO Support,Reduced partnerships,Closure of several NGOs has reduced support available to GBV programmes in Malawi.,"""Most of these organisations closed down.""",Strengthen partnerships with remaining NGOs and development partners.
SW06,District Gender Office,Social Worker,RQ5,Opportunities,Funding,Increased investment,Greater financial investment would enable the Gender Office to operate effectively.,"""There is need for funding so that the office can work to its full capacity.""",Increase government and donor investment.
SW06,District Gender Office,Social Worker,RQ5,Opportunities,Safe Shelters,Shelter expansion,More established shelters are needed because current shelters provide only temporary accommodation.,"""There is need for more shelters.""",Expand permanent safe shelter infrastructure.
SW06,District Gender Office,Social Worker,RQ5,Opportunities,Shelter Resources,Improved facilities,Existing temporary shelters require more resources to accommodate survivors adequately.,"""The temporary shelters lack many needs.""",Improve infrastructure and resources in existing shelters.
SW07,Self Help Africa,Safeguarding Manager,RQ2,Access Pathways,Community Awareness,Human rights sensitisation,"Before implementing projects, the organisation conducts awareness sessions on human rights and GBV so communities understand abuse and available support.","""We conduct community awareness sensitisations on human rights and GBV.""",Continue integrating GBV awareness into development programmes.
SW07,Self Help Africa,Safeguarding Manager,RQ2,Access Pathways,Prevention,Safeguarding integration,GBV prevention is integrated into every project to ensure activities do not unintentionally increase violence.,"""We make sure all projects have a safeguarding, gender and inclusion component.""",Mainstream safeguarding across all development interventions.
SW07,Self Help Africa,Safeguarding Manager,RQ2,Access Pathways,Survivor Identification,Community reporting,Community awareness enables survivors and community members to recognize abuse and know where to report it.,"""People understand what abuse is and know where to report.""",Strengthen survivor education and awareness programmes.
SW07,Self Help Africa,Safeguarding Manager,RQ2,Access Pathways,Referral System,Essential service mapping,"The organisation maintains a referral directory of essential service providers including police, Victim Support Units and Social Welfare Offices.","""We have mapped out essential service providers.""",Maintain updated referral pathways and service directories.
SW07,Self Help Africa,Safeguarding Manager,RQ2,Access Pathways,Multi-sector Collaboration,Referrals,Survivors are referred to the most appropriate service depending on their needs.,"""Whenever we get reports of GBV, we make referrals to the appropriate services.""",Strengthen coordination between referral agencies.
SW07,Self Help Africa,Safeguarding Manager,RQ2,Access Pathways,Awareness Campaigns,Community education,Human rights training encourages survivors to report GBV and seek support.,"""We conduct awareness trainings on human rights so people know when they are being abused.""",Continue community education initiatives.
